title,reporting_organisation,iati_identifier,sector_code,sector_name,start_actual,end_actual,recipient_country,recipient_country_code,position,budget_date,budget_amount
Ag4458: Support to African Network for Prevention and Protection Against Child Abuse and Neglect (ANPPCAN),Department for International Development,GB-1-105659-112,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,44002
Ag4471: Support to Reproductive Health Uganda (Formerly Family Planning Uganda),Department for International Development,GB-1-105659-113,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,52153
Ag4471: Support to Reproductive Health Uganda (Formerly Family Planning Uganda),Department for International Development,GB-1-105659-113,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,-1291
Ag4485: Support to National UNION of Researchers and Research Users (NURRU),Department for International Development,GB-1-105659-114,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,34119
Ag4512: Support to the Uganda Association of Women Lawyers (FIDA Uganda),Department for International Development,GB-1-105659-115,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,0
Ag4512: Support to the Uganda Association of Women Lawyers (FIDA Uganda),Department for International Development,GB-1-105659-115,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,0
Ag4512: Support to the Uganda Association of Women Lawyers (FIDA Uganda),Department for International Development,GB-1-105659-115,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,0
Ag4512: Support to the Uganda Association of Women Lawyers (FIDA Uganda),Department for International Development,GB-1-105659-115,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,0
Ag4512: Support to the Uganda Association of Women Lawyers (FIDA Uganda),Department for International Development,GB-1-105659-115,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,0
Ag4512: Support to the Uganda Association of Women Lawyers (FIDA Uganda),Department for International Development,GB-1-105659-115,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,0
Ag4512: Support to the Uganda Association of Women Lawyers (FIDA Uganda),Department for International Development,GB-1-105659-115,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,0
Ag4512: Support to the Uganda Association of Women Lawyers (FIDA Uganda),Department for International Development,GB-1-105659-115,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,73612
Ag4512: Support to the Uganda Association of Women Lawyers (FIDA Uganda),Department for International Development,GB-1-105659-115,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,0
Ag4512: Support to the Uganda Association of Women Lawyers (FIDA Uganda),Department for International Development,GB-1-105659-115,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,0
Ag4512: Support to the Uganda Association of Women Lawyers (FIDA Uganda),Department for International Development,GB-1-105659-115,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,0
Ag4512: Support to the Uganda Association of Women Lawyers (FIDA Uganda),Department for International Development,GB-1-105659-115,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,0
Ag4512: Support to the Uganda Association of Women Lawyers (FIDA Uganda),Department for International Development,GB-1-105659-115,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,0
Ag4512: Support to the Uganda Association of Women Lawyers (FIDA Uganda),Department for International Development,GB-1-105659-115,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,0
Ag4512: Support to the Uganda Association of Women Lawyers (FIDA Uganda),Department for International Development,GB-1-105659-115,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,0
Ag4512: Support to the Uganda Association of Women Lawyers (FIDA Uganda),Department for International Development,GB-1-105659-115,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,0
Ag4512: Support to the Uganda Association of Women Lawyers (FIDA Uganda),Department for International Development,GB-1-105659-115,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,0
Ag4512: Support to the Uganda Association of Women Lawyers (FIDA Uganda),Department for International Development,GB-1-105659-115,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,0
Ag4512: Support to the Uganda Association of Women Lawyers (FIDA Uganda),Department for International Development,GB-1-105659-115,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,0
Ag4512: Support to the Uganda Association of Women Lawyers (FIDA Uganda),Department for International Development,GB-1-105659-115,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,0
Ag4551: Support to the National UNION of Disabled Persons in Uganda (NUDIPU),Department for International Development,GB-1-105659-116,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,-3505
Ag4551: Support to the National UNION of Disabled Persons in Uganda (NUDIPU),Department for International Development,GB-1-105659-116,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,43141
Ag4551: Support to the National UNION of Disabled Persons in Uganda (NUDIPU),Department for International Development,GB-1-105659-116,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,38093
Ag4560: Support to Care International in Uganda (INPACT Project),Department for International Development,GB-1-105659-117,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,24059
Ag4560: Support to Care International in Uganda (INPACT Project),Department for International Development,GB-1-105659-117,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,44466
Ag4766: Support to RWENZORI Anti-Corruption Coalition (RAC) Strategic Plan,Department for International Development,GB-1-105659-119,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,65143
Ag4766: Support to RWENZORI Anti-Corruption Coalition (RAC) Strategic Plan,Department for International Development,GB-1-105659-119,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,31594
Ag4779: Support to Uganda Debt Network,Department for International Development,GB-1-105659-120,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,71900
Ag4779: Support to Uganda Debt Network,Department for International Development,GB-1-105659-120,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,58752
Ag4780: Support to Save the Children in Uganda,Department for International Development,GB-1-105659-121,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,49459
Ag4780: Support to Save the Children in Uganda,Department for International Development,GB-1-105659-121,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,76865
Ag4781: Support to Platform for Labour Action (PLA),Department for International Development,GB-1-105659-122,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,26975
Ag4781: Support to Platform for Labour Action (PLA),Department for International Development,GB-1-105659-122,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,29608
Ag4787: Support to Uganda WOMENS Efforts to Save Orphans (UWESO),Department for International Development,GB-1-105659-123,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,66441
Ag4787: Support to Uganda WOMENS Efforts to Save Orphans (UWESO),Department for International Development,GB-1-105659-123,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,27513
Ag4814: Support to the APAC Anti-Corruption Coalition (TAAC),Department for International Development,GB-1-105659-124,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,21689
Ag4814: Support to the APAC Anti-Corruption Coalition (TAAC),Department for International Development,GB-1-105659-124,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,29341
Ag4830:Support to the MIFUMI Human Rights Defenders Network (MHRDN),Department for International Development,GB-1-105659-125,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,17562
Ag4830:Support to the MIFUMI Human Rights Defenders Network (MHRDN),Department for International Development,GB-1-105659-125,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,108035
Ag4861: Support to Community Empowerment for Rural Development (CEFORD),Department for International Development,GB-1-105659-126,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,43843
Ag4861: Support to Community Empowerment for Rural Development (CEFORD),Department for International Development,GB-1-105659-126,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,87381
Ag4550: Support to the Land and Equity Movement (LEMU),Department for International Development,GB-1-105659-127,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,13122
Ag4788: Support to Coalition for Health Promotion and Social Development (HEPS Uganda),Department for International Development,GB-1-105659-128,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,37350
Ag4788: Support to Coalition for Health Promotion and Social Development (HEPS Uganda),Department for International Development,GB-1-105659-128,15150,Democratic participation and civil society,9/1/2006,4/1/2010,Uganda,UG,,9/1/2006,21878
Procurement of Services for Financial Management Programme,Department for International Development,GB-1-105661-101,15110,Public sector policy and administrative management,12/1/2006,7/31/2008,Uganda,UG,,12/1/2006,26969
Procurement of Services for Financial Management Programme,Department for International Development,GB-1-105661-101,15110,Public sector policy and administrative management,12/1/2006,7/31/2008,Uganda,UG,,12/1/2006,18031
Procurement of Services for Financial Management Programme,Department for International Development,GB-1-105661-101,15110,Public sector policy and administrative management,12/1/2006,7/31/2008,Uganda,UG,,12/1/2006,0
MULTILATORGANISATION and P0024 for African Peer Review Mechanism,Department for International Development,GB-1-105662-101,15111,Public finance management,11/1/2006,11/1/2009,Uganda,UG,,11/1/2006,150000
MULTILATORGANISATION and P0024 for African Peer Review Mechanism,Department for International Development,GB-1-105662-101,15111,Public finance management,11/1/2006,11/1/2009,Uganda,UG,,11/1/2006,100000
MULTILATORGANISATION and P0024 for African Peer Review Mechanism,Department for International Development,GB-1-105662-101,15111,Public finance management,11/1/2006,11/1/2009,Uganda,UG,,11/1/2006,50000
PROCOFSERVICES and P0025 for Support to Uganda Defence Reform,Department for International Development,GB-1-105707-101,15220,"Civilian peace-building, conflict prevention and resolution",8/1/2005,4/1/2010,Uganda,UG,,8/1/2005,2533
PROCOFSERVICES and P0025 for Support to Uganda Defence Reform,Department for International Development,GB-1-105707-101,15220,"Civilian peace-building, conflict prevention and resolution",8/1/2005,4/1/2010,Uganda,UG,,8/1/2005,65896
PROCOFSERVICES and P0025 for Support to Uganda Defence Reform,Department for International Development,GB-1-105707-101,15220,"Civilian peace-building, conflict prevention and resolution",8/1/2005,4/1/2010,Uganda,UG,,8/1/2005,46370
PROCOFSERVICES and P0025 for Support to Uganda Defence Reform,Department for International Development,GB-1-105707-101,15220,"Civilian peace-building, conflict prevention and resolution",8/1/2005,4/1/2010,Uganda,UG,,8/1/2005,26255
PROCOFSERVICES and P0025 for Support to Uganda Defence Reform,Department for International Development,GB-1-105707-101,15220,"Civilian peace-building, conflict prevention and resolution",8/1/2005,4/1/2010,Uganda,UG,,8/1/2005,1961
HUMANITASSISTANCE and P0025 for Support to Uganda Defence Reform,Department for International Development,GB-1-105707-102,15220,"Civilian peace-building, conflict prevention and resolution",8/1/2005,4/1/2010,Uganda,UG,,8/1/2005,6983
HUMANITASSISTANCE and P0025 for Support to Uganda Defence Reform,Department for International Development,GB-1-105707-102,15220,"Civilian peace-building, conflict prevention and resolution",8/1/2005,4/1/2010,Uganda,UG,,8/1/2005,0
NOTFORPROFITORG and P0118 for SRH Rights in Conflict Affected Communities CSCF317,Department for International Development,GB-1-105791-101,15160,Human rights,4/1/2005,3/31/2010,Uganda,UG,,4/1/2005,52501
NOTFORPROFITORG and P0118 for SRH Rights in Conflict Affected Communities CSCF317,Department for International Development,GB-1-105791-101,15160,Human rights,4/1/2005,3/31/2010,Uganda,UG,,4/1/2005,126468
NOTFORPROFITORG and P0118 for SRH Rights in Conflict Affected Communities CSCF317,Department for International Development,GB-1-105791-101,15160,Human rights,4/1/2005,3/31/2010,Uganda,UG,,4/1/2005,109769
NOTFORPROFITORG and P0118 for SRH Rights in Conflict Affected Communities CSCF317,Department for International Development,GB-1-105791-101,15160,Human rights,4/1/2005,3/31/2010,Uganda,UG,,4/1/2005,106059
